pregen	mscoco_R^2	mscoco_R	mscoco_p	flickr30k_R^2	flickr30k_R	flickr30k_p	flickr8k_R^2	flickr8k_R	flickr8k_p	all_R^2	all_R	all_p
sum_geomean_prob_filter0	0.49272724231663295	0.7019453271563484	4.941559215526869e-28	0.44439129849817993	0.6666268060153147	1.7128338134569996e-24	0.46166239843701784	0.6794574294516308	1.0117137704892419e-25	0.2734471412595251	0.5229217353099076	3.1381966969439066e-39
sum_geomean_prob_prefix0	0.013823329917625575	0.1175726580358953	0.11598068064932612	0.03824636533194746	0.19556677972484862	0.008513927788257375	0.0023262151766181237	-0.048230852953458365	0.5202558607131997	0.05649169625843538	0.23767981878660918	2.2616607038800872e-08
sum_geomean_pplx_none	0.14922277304321485	-0.3862936357788138	8.511322411562841e-08	0.13939875932608145	-0.37336143256378457	2.4409606830469125e-07	0.14014477894129998	-0.37435915768323336	2.2540356857558797e-07	0.010496361148498931	-0.10245175034375416	0.017241534439965178
sum_geomean_count_none	0.00012913721935970578	-0.011363855831525925	0.8796563647761972	0.0010709486987647372	-0.032725352538433214	0.6627534891437525	0.00024054843431483764	-0.015509623925641706	0.8362861705699074	0.027164944244838746	0.1648179123907312	0.00011933399336001561
sum_geomean_count_filter0	0.02213559166168855	-0.1487803470277192	0.046228662403070685	0.016607960946474973	-0.1288718780280437	0.08468091454605238	0.016787315387763846	-0.12956587277429132	0.08300455467150103	0.00618075191851892	0.078617758289835	0.06792494402912888
sum_geomean_count_prefix0	0.12710688359940603	0.35652052339157986	9.001847208856305e-07	0.10942026006326168	0.3307873335895159	5.749574776740427e-06	0.018723975881646482	0.13683557973585117	0.06699948269010561	0.12486129841011126	0.35335718247986875	2.519714055443388e-17
sum_geomean_normcount_none	1.7073051172405055e-14	1.306638862593833e-07	0.9999986100295195	1.2246571630849416e-12	1.1066422922900343e-06	0.9999882360638443	2.8499746204457544e-12	1.688186784821441e-06	0.999982054393074	0.03148544787128304	0.1774413927788075	3.372117170645414e-05
sum_geomean_normcount_filter0	0.01915550283818188	-0.13840340616538988	0.06390134251048317	0.010452053671622656	-0.10223528584408935	0.17204709418223016	0.014166212043927392	-0.11902189732955609	0.11152327953173853	0.008802110254663868	0.09381956221739615	0.02926282505422377
sum_geomean_normcount_prefix0	0.13606535919383453	0.36887038264658023	3.482371523492118e-07	0.14109238948007413	0.3756226690178245	2.0369337014193153e-07	0.025835618249547478	0.16073462056927088	0.031123304392621905	0.13141378396444423	0.3625103915261523	3.2549395190205033e-18
sum_max_prob_none	0.42516804432054134	0.65204911189307	3.612239005439201e-23	0.3540023782443117	0.5949809898175837	1.281949821241706e-18	0.48817542965371763	0.6986955199897289	1.0993057456470428e-27	0.2672970013398656	0.5170077381818048	3.0640533800004544e-38
sum_max_prob_filter0	0.5087157599336711	0.713243128206414	2.813225885454701e-29	0.47222801297745765	0.6871884843166812	1.7143979291711472e-26	0.5314889235719554	0.7290328686499364	4.030315448928411e-31	0.3014977220553194	0.5490880822375581	7.51634531125845e-44
sum_max_prob_prefix0	0.0003081396222831747	0.017553906183045833	0.8150722017582342	0.0012355426094582973	0.035150286050874426	0.6394628653596426	0.0031193917081376726	0.055851514824019524	0.4564604327333982	0.03866659389803356	0.19663823101836927	4.146623804894589e-06
sum_max_pplx_none	0.12051747320002751	-0.34715626625487767	1.8017696390493034e-06	0.11434603787578229	-0.33815090991417174	3.4394322358719397e-06	0.1313175231997827	-0.3623775975412701	5.765981225610183e-07	0.004036846333778628	-0.06353618129679048	0.14034266743533383
sum_max_count_none	0.0007655551752641676	-0.027668667753691496	0.7123524020698992	0.0066433525366899225	-0.08150676374810818	0.2767185000941492	0.0007214417560545072	-0.026859667832169986	0.7204074382211807	0.020683409959107345	0.14381727976535832	0.0008031503048996652
sum_max_count_filter0	0.009166124461795693	-0.09573987916117135	0.2010818221737623	0.017485076845434447	-0.1322311493008907	0.07681282075059398	0.00846643178805769	-0.09201321529029236	0.21926144111583198	0.00990705895304255	0.09953420996342187	0.02070321736643219
sum_max_count_prefix0	0.1049522444571217	0.32396333813739125	9.148410573047902e-06	0.047726852182471885	0.2184647618781388	0.003216360117703373	0.07141623002815489	0.2672381522690106	0.0002871991962089516	0.11717677189908263	0.34231092868776863	2.729628154129077e-16
sum_max_normcount_none	1.7073051172405055e-14	1.306638862593833e-07	0.9999986100295195	1.2246571630849416e-12	1.1066422922900343e-06	0.9999882360638443	2.8499746204457544e-12	1.688186784821441e-06	0.999982054393074	0.03148544787128304	0.1774413927788075	3.372117170645414e-05
sum_max_normcount_filter0	0.00529216030824267	-0.072747235742966	0.33180052397129556	0.003369894769385038	-0.0580507947351717	0.4388951493362253	0.00461575750420139	-0.06793936638062935	0.36483019472108447	0.017935635723021932	0.1339239923352867	0.0018148943246141943
sum_max_normcount_prefix0	0.10519220397496287	0.32433347649442984	8.923371450815274e-06	0.06500608860915723	0.25496291614499006	0.0005520917970853148	0.06882896719489145	0.2623527533587011	0.0003739226215077477	0.1194812916789325	0.3456606597212539	1.338564785275967e-16
sum_min_prob_none	0.2338360094157617	0.48356593078479143	6.1478159039964064e-12	0.3117736020604933	0.5583669063084714	3.82045261119107e-16	0.3263103903618003	0.5712358447802451	5.589637999080019e-17	0.13982258101338568	0.3739285774227288	2.3063536299130474e-19
sum_min_prob_filter0	0.22872061570719487	0.4782474419243608	1.123364163199114e-11	0.26152448850966525	0.51139465045077	2.2014527447267743e-13	0.2905726668100525	0.539047926264495	5.88290719676658e-15	0.13653626294491783	0.36950813650705694	6.507904028742613e-19
sum_min_prob_prefix0	0.0019563851323941063	-0.04423104263290779	0.555474849563335	0.018933993507204407	0.13760084849739992	0.06547227275734098	0.02973587624014308	-0.17244093551167913	0.020624540248136113	0.025694020093163475	0.1602935435167726	0.00018367868598437035
sum_min_pplx_none	0.1447149309568275	-0.38041415714563975	1.381904123597434e-07	0.12624845132203102	-0.35531458079008105	9.855680343491178e-07	0.1372340421841803	-0.37045113332824386	3.0748640266133737e-07	0.012155298209918251	-0.11025106897403876	0.010350734134683234
sum_min_pplx_filter0	0.1258631997921565	-0.35477203919158634	1.0264533247966638e-06	0.10844221796492347	-0.3293056603900447	6.365690559787757e-06	0.10171638588465766	-0.31893006425336834	1.2794785659253241e-05	0.002611333234346766	-0.0511012058012995	0.2358168022003008
sum_min_count_none	4.3574252047254787e-07	-0.0006601079612249407	0.9929830315916004	4.356669397438505e-05	-0.006600507099790519	0.929925070221259	5.322550461546116e-05	-0.007295581170507334	0.9225676656617007	0.03167077411704761	0.17796284476555102	3.194408501817051e-05
sum_min_count_filter0	0.043693141370162426	-0.20902904432198513	0.004861690809754084	0.021071296413105643	-0.145159555018282	0.051863812448911875	0.02804252080498009	-0.1674590123134019	0.024644059170758095	0.002572352545045251	0.050718364968177464	0.23934939741068434
sum_min_count_prefix0	0.06302127142941163	0.25104037808570084	0.000675843397529941	0.06988424802103455	0.26435628992145155	0.0003357744961212143	0.0015436606881604562	0.039289447542062185	0.6005197820730426	0.08989225934408938	0.29982037846699044	1.1159837537029996e-12
sum_min_normcount_none	1.7073051172405055e-14	1.306638862593833e-07	0.9999986100295195	1.2246571630849416e-12	1.1066422922900343e-06	0.9999882360638443	2.8499746204457544e-12	1.688186784821441e-06	0.999982054393074	0.03148544787128304	0.1774413927788075	3.372117170645414e-05
sum_min_normcount_filter0	0.04389876283279064	-0.20952031603830365	0.004760224765554289	0.0226342490548351	-0.1504468313220159	0.04381225613699325	0.02943916582294398	-0.17157845384238657	0.021276872131390245	0.002208378418483798	0.04699338696544225	0.275669355523711
sum_min_normcount_prefix0	0.08227184328185772	0.28683068748280355	9.470365114913211e-05	0.11974008404923406	0.34603480178911783	1.9549929417296173e-06	0.00843705773503208	0.09185345793726048	0.22006611601567064	0.103490993171074	0.32170016035288823	1.8171473616959304e-14
sum_join_prob_none	0.42641898612150186	0.6530076462963522	2.971313611209955e-23	0.35587619276011156	0.5965535958823076	9.873686307459495e-19	0.5005077846756443	0.7074657480582677	1.239068618879017e-28	0.2699467998495581	0.5195640478801031	1.1505947239688646e-38
sum_join_prob_filter0	0.5085780229587874	0.7131465648510041	2.8846771235452696e-29	0.4727240847352518	0.687549332582944	1.575945405458165e-26	0.5324700982508452	0.7297054873377651	3.341295002667321e-31	0.30200728021731854	0.5495518903773496	6.171478525433423e-44
sum_join_prob_prefix0	2.015155703140345e-05	0.00448904856638948	0.952308855151839	0.001378565698459179	0.03712904117344237	0.6207140250404355	0.0004480233632282143	0.02116656238571144	0.7779186450444665	0.036092003245245	0.1899789547430057	8.7881181117124e-06
sum_join_pplx_none	0.13473185793892842	-0.36705838491843285	4.013076653818245e-07	0.12712559354839356	-0.35654676207812286	8.984078874666072e-07	0.13712123699277556	-0.37029884821961784	3.112041727649542e-07	0.0065948088167877535	-0.08120842823739266	0.059314353781071937
sum_join_count_none	0.00017446661874776504	-0.013208581254160684	0.8603058819602168	0.0017313069651940334	-0.04160897697846023	0.5791722979104474	0.00029849317428006666	-0.017276955006020785	0.817938688516982	0.026186605880124166	0.1618227606986241	0.00015896662878699637
sum_join_count_filter0	0.017039555763241468	-0.1305356493960231	0.08070680891437294	0.015934535470396173	-0.12623206989666363	0.09130696307190246	0.013885204547500286	-0.11783549782429863	0.11516212354214594	0.007574130020951712	0.08702947788509197	0.0432246405859421
sum_join_count_prefix0	0.07332974930245324	0.27079466261810486	0.0002362545819590496	0.0403873644280973	0.2009660778044327	0.00682810039086524	0.04348061687342473	0.2085200634793322	0.004968856643766385	0.09972036241587882	0.3157853106398061	5.72140032101096e-14
