pregen	mscoco_R^2	mscoco_R	mscoco_p	flickr30k_R^2	flickr30k_R	flickr30k_p	flickr8k_R^2	flickr8k_R	flickr8k_p	all_R^2	all_R	all_p
sum_geomean_count_filter0	0.026719108588260928	-0.1634598072562822	0.028341014201120243	0.02307535261290137	-0.15190573594470147	0.04178452608169632	0.02347818375941861	-0.15322592391439058	0.04001806381592347	0.006438569072291298	0.08024069461496017	0.062418698280481334
sum_geomean_count_prefix0	0.12275079760784775	0.3503580991041134	1.4247639997889943e-06	0.09614834303260732	0.3100779628296847	2.275031910469475e-05	0.013355445553798542	0.11556576289627712	0.12238101591167196	0.1332200189897406	0.36499317663449626	1.8469905457346685e-18
sum_geomean_normcount_none	0.0001955881936076944	-0.013985284895478333	0.8521826784786084	0.0005018154013593464	-0.022401236603351755	0.7653309023400245	0.0005779024258053643	-0.024039601198966764	0.7487223907842282	0.03310335079077854	0.18194326255945434	2.102324712351874e-05
sum_geomean_normcount_filter0	0.02345885238490598	-0.15316282964513936	0.04010103360698076	0.015513576292821006	-0.12455350774996667	0.0957308676272906	0.020380202580611035	-0.14275924691805794	0.055904870151504575	0.009218174518399022	0.09601132494866958	0.025675313091896333
sum_geomean_normcount_prefix0	0.1317900307918889	0.36302896687714725	5.484279546662805e-07	0.12706002260601967	0.3564547974232072	9.046502961572469e-07	0.019489950188160684	0.13960641170147123	0.0616045011324556	0.1402508353960647	0.3745007815693643	2.0141903414866544e-19
sum_max_prob_none	0.4460524702004083	0.6678715970906446	1.3097494395552863e-24	0.3672910263296644	0.6060453995615052	1.980195232625485e-19	0.47090057270294405	0.6862219558589947	2.1468615261437333e-26	0.2918533649575885	0.5402345462459694	3.054740924341639e-42
sum_max_prob_filter0	0.5299116826135396	0.7279503297708846	5.443462037411948e-31	0.4878114787768805	0.698435021155784	1.1715264795856426e-27	0.5061878994210874	0.7114688323609738	4.4528177582438806e-29	0.328362730968548	0.5730294328989987	1.8871138865348084e-48
sum_max_prob_prefix0	2.019875519524264e-05	0.004494302526003633	0.9522531037524712	0.0001685568945388311	0.012982946296539592	0.8626684886688298	0.0010041839502857126	0.031688861612334904	0.6728098041359232	0.04101719583433433	0.20252702494811484	2.0886423187639803e-06
sum_max_pplx_none	0.12979193553150223	-0.36026647850098714	6.777164485382536e-07	0.1281291862379102	-0.35795137412490846	8.080279310806348e-07	0.1469961807445772	-0.38340080952519806	1.0816180599642655e-07	0.00391180988903482	-0.06254446329640075	0.14665310943156795
sum_max_count_none	0.0017586846554686797	-0.041936674349174134	0.5761850897112072	0.010897600385886842	-0.10439157238918687	0.1631316731390795	0.002574653960449429	-0.05074104808189745	0.49875127982883427	0.021484176180172655	0.14657481427643923	0.0006339247195042687
sum_max_count_filter0	0.01218131436881452	-0.11036899188093782	0.14022619271496892	0.02383819946814734	-0.15439624175525563	0.038505067950674654	0.01341548710694793	-0.11582524382425417	0.12153840465352932	0.0102442645892128	0.10121395451820267	0.018642992297653444
sum_max_count_prefix0	0.09830327247479732	0.3135335268751929	1.8211987612030492e-05	0.03755193619570119	0.19378321959267059	0.009146825773960466	0.0593968932890116	0.24371477856094734	0.0009777488208959565	0.1229243886823944	0.35060574536421163	4.601819768009643e-17
sum_max_normcount_none	0.0001955881936076944	-0.013985284895478333	0.8521826784786084	0.0005018154013593464	-0.022401236603351755	0.7653309023400245	0.0005779024258053643	-0.024039601198966764	0.7487223907842282	0.03310335079077854	0.18194326255945434	2.102324712351874e-05
sum_max_normcount_filter0	0.007633706620383946	-0.08737108572281763	0.24350472707439969	0.006451335559242281	-0.08032020641932067	0.28379460797526274	0.008449950257866904	-0.09192361099231744	0.21971250679216683	0.01880666656637558	0.13713740031944452	0.0014007057520792603
sum_max_normcount_prefix0	0.09879764884152546	0.3143209328720018	1.7304940326990737e-05	0.053592804916770403	0.23150119852123963	0.0017668103284374799	0.05704163251064413	0.23883390151032607	0.0012429941564390233	0.1254863810135497	0.35424056940665294	2.0740674653713498e-17
sum_min_prob_none	0.2514703841507014	0.5014682284559027	7.474235882825889e-13	0.3025791909797614	0.5500719870887458	1.262848672614803e-15	0.3149517839046865	0.5612056520605316	2.518138379813527e-16	0.1576115176538251	0.3970031708359835	7.874025265691499e-22
sum_min_prob_filter0	0.24514502740612296	0.4951212249602343	1.6000106173856285e-12	0.2492063613206589	0.49920573045655126	9.82159375899834e-13	0.2813200636386172	0.5303961384084703	1.893301022928178e-14	0.15365451480376177	0.3919879013487046	2.8124071420646034e-21
sum_min_prob_prefix0	0.0027702819580388157	-0.052633468041150544	0.48285436119833836	0.013748005977588644	0.11725189114717359	0.11698577388227434	0.03732369135412303	-0.19319340401298132	0.009365099035175435	0.028569218124895292	0.16902431223020933	7.910262996799833e-05
sum_min_pplx_none	0.15145474989270824	-0.38917187705782164	6.690297621052291e-08	0.13954962231781343	-0.37356341137457966	2.4019598660665986e-07	0.1539120986064385	-0.3923163246749216	5.129505348654692e-08	0.011960509912090996	-0.10936411619946917	0.010986262960666638
sum_min_pplx_filter0	0.1324440292030185	-0.3639286045408062	5.116764612969833e-07	0.12091600588788727	-0.3477297886116277	1.727901669787164e-06	0.11619029767550888	-0.34086697944434113	2.836093270342953e-06	0.0023264927392132482	-0.04823373030580621	0.2631808405300914
sum_min_count_none	0.00021070150211628373	-0.014515560689008321	0.8466456192862407	0.0008880027426425675	-0.029799374869996308	0.6912911569084988	0.0009821325992435388	-0.03133899486651636	0.6762175587649892	0.03356272898269798	0.1832013345549043	1.838472025263803e-05
sum_min_count_filter0	0.04990946756824686	-0.22340426935993604	0.002573215491711702	0.028410933192858263	-0.168555430624048	0.023705936128420795	0.036492992610169105	-0.1910313916877776	0.010205106034128	0.002734129618292176	0.052288905307839216	0.22509210847176947
sum_min_count_prefix0	0.05898424851913013	0.24286672995519606	0.0010197381145681263	0.05873075803718518	0.24234429648164857	0.0010464224751978643	0.0003177065768293445	0.017824325424243816	0.8122756875490403	0.09610601630138142	0.31000970356003604	1.7112640086151458e-13
